aws,A,B,C,D
Oxit axit co the tac dung duoc voi :,ca 3 hop chat tren,oxit bazo,nuoc,bazo
Oxit nao sau day phan ung voi nuoc o dieu kien thuong?,Na2O,CuO,AL2O3,MgO
Day cac chat nao tac dung duoc voi nuoc ?,"SO2, CO2, Na2O, CaO   ","NO,CO, Na2O, CaO","SO2, CO2, FeO, CaO     ","NO, CO, Na2O, FeO"
"0,05 mol FeO  tac dunh vua du voi:","0,1mol HCl","0,02mol HCl","0,05mol HCl","0,01mol HCl"
Khi cho CaO vao nuoc thu duoc:,Ca B va C,dung dich Ca(OH)2.,chat khong tan Ca(OH)2,dung dich CaO.
Cac oxit tac dung duoc voi nuoc :,"BaO, K2O, SO2"," PbO2, K2O, SO3","Al2O3, NO, SO2","CaO, FeO, NO2"
Tinh chat hoa hoc cua oxit axit la,ca 3 dap an,tac dung voi dung dich bazo,tac dung voi 1 so oxit bazo,tac dung voi nuoc
Cac dung dich lam quy tim chuyen do,"HCl, H2SO4","NaCl, HCl","NaOH, KOH","NaCl, NaOH"
Kim loai khong p/u voi dd HCL,Cu,Na,Al,Fe
Dung dich H2SO4 loang p/u duoc voi ,Fe,Al,Ag,Cu
